ACFT_SERIES,ICAO,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
B737 2Q8C,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2R4C,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 2S2C ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2S3 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2S9 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2T2 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2T4 ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 2T4 F ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 2T4C ADV,B732,JT8D-17A,2,B732,B73215,J,1PW014
B737 2T5,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2T5 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2V6 ADC,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2W8 ADV,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 2X2 ADV,B732,JT8D-17,2,B732,B73215,J,1PW012
B737 2Z6,B732,JT8D-15,2,B732,B73215,J,1PW009
B737 301,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 301 BDSF,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 301 F,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 306,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 317,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 319,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 31B F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 31L,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 31S,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 31S WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 322,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 322 F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 322 WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 329,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 32Q,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 330,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 330 F,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 330 QC,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 330 QC WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 330 WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 332,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 33A,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 33A F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 33A QC,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 33A WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 33R,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 33R WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 33S WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 33V,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 33V F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 33V WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 341,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 347,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 348 QC,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 34N,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 34S BDSF,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 35B,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 35B F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 36E,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 36E BDSF,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 36M,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 36N,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 36N F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 36N WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 36Q,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 36Q F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 36Q WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 375,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 375 BDSF,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 376,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 377,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 377 BDQC,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 377 BDSF,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 377 WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 37Q,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 382,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 382 QC,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 38B QC,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 38J,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 39A WL,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 39M,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 39M QC,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3B3 QC,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3B7,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3B7 F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3G7,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3G7 F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3H4 F WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3H4 WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3H6F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3H9,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3J6,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3K2,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3K9,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3L9,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3L9 QC,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3L9 WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3M8,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3M8 BDSF,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3M8 QC,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Q4,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Q4 F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Q8,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Q8 BDQC,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Q8 F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Q8 QC,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3S1 F,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3S3,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3S3 QC,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3S3F,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3T0,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3T0 F,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3U3,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3U3 F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3U8,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3U8 F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3Y0,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Y0 BDQC,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Y0 BDSF,B733,CFM56-3B2,2,B733,B73320,J,1CM005
B737 3Y0 F,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3Y0 QC,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3Y0 WL,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3Y5,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3Y5 F,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3Y5 WL,B733,CFM56-3C1,2,B733,B73320,J,1CM007
B737 3Z0,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3Z8,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 3Z9,B733,CFM56-3B1,2,B733,B73320,J,1CM004
B737 401,B734,CFM56-3B2,2,B734,B73423,J,1CM005
B737 405,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 405 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 406,B734,CFM56-3B2,2,B734,B73423,J,1CM005
B737 406 F,B734,CFM56-3B2,2,B734,B73423,J,1CM005
B737 408 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 429 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 42C,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 42C F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 42J F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 430,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 436,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 436 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 436 SF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 43Q,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 43Q F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 446,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 448,B734,CFM56-3B2,2,B734,B73423,J,1CM005
B737 448 F,B734,CFM56-3B2,2,B734,B73423,J,1CM005
B737 45D,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 45D BDSF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 45D F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 45S,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46B,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46B F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46J,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46J F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46M,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46N,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46N F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46Q,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 46Q F,B734,CFM56-3C1,2,B734,B73320,J,1CM007
B737 476,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 476 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 484,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 484 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 484 SF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 48E,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 48E SF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 490,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 490 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 49R,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 49R BDSF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 49R F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4B3,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4B3 SF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4B6,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4B6 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4B7,B734,CFM56-3B2,2,B734,B73423,J,1CM005
B737 4B7 F,B734,CFM56-3B2,2,B734,B73423,J,1CM005
B737 4C9,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4D7,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4D7 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4H6,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4H6 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4K5,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4K5 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4K5 SF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4L7,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4M0,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4M0 BDSF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4M0 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Q3,B734,CFM56-3B1,2,B734,B73423,J,1CM004
B737 4Q3 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Q8,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Q8 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Q8 QC,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Q8 SF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4S3,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4S3 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4U3,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Y0,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Y0 BDSF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Y0 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Y0 SF,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Z6,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 4Z9 F,B734,CFM56-3C1,2,B734,B73423,J,1CM007
B737 505,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 505 WL,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 522,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 524,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 524 WL,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 528,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 528 WL,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 529,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 529 WL,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 530,B735,CFM56-3B1,2,B735,B73518,J,1CM004
B737 53A,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 53C,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 53S,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 548,B735,CFM56-3B1,2,B735,B73518,J,1CM004
B737 548 WL,B735,CFM56-3B1,2,B735,B73518,J,1CM004
B737 55D,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 55D WL,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 55S,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 566,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 56N,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 58E,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 58N,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 59D,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5B6,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5C9,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5H3,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5H6,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5K5,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5L9,B735,CFM56-3B1,2,B735,B73518,J,1CM004
B737 5L9 WL,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5Q8,B735,CFM56-3C1,2,B735,B73518,J,1CM007
B737 5Y0,B735,CFM56-3B1,2,B735,B73518,J,1CM004
B737 5Y0 WL,B735,CFM56-3B1,2,B735,B73518,J,1CM004
B737 66N,B736,CFM56-7B20,2,B736,B73622,J,3CM030
B737 683,B736,CFM56-7B20,2,B736,B73622,J,3CM030
B737 6D6,B736,CFM56-7B26,2,B736,B73622,J,8CM051
B737 6H3,B736,CFM56-7B20,2,B736,B73622,J,3CM030
B737 6Q8,B736,CFM56-7B20,2,B736,B73622,J,3CM030
B737 6Z9,B736,CFM56-7B22,2,B736,B73622,J,3CM031
B737 7,B37M,LEAP-1B,2,B38M,,J,01P20CM136
B737 700 NE3 BBJ,B737,CFM56-7B26E,2,B737,B737W24,J,01P11CM116
B737 700WL,B737,CFM56-7B26E,2,B737,B737W24,J,01P11CM116
B737 705,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 71B,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 71M,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 71Q,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 72T,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 72U,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 732,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 73A,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 73Q,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 73S,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 73T,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 73U,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 73V,B737,CFM56-7B20,2,B737,B737W24,J,3CM030
B737 73W,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 74Q,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 74T,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 74U,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 74V,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 752,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 758,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 75B,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 75C,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 75C BDSF,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 75G,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 75R,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 75T,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 75U,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 75V,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 760,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 76D,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 76J,B737,CFM56-7B24E,2,B737,B737W24,J,01P11CM114
B737 76N,B737,CFM56-7B20,2,B737,B737W24,J,3CM030
B737 76Q,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 76Q FC WL,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 77W,B737,CFM56-7BE,2,B737,B737W24,J,01P11CM121
B737 77Z,B737,CFM56-7B27E,2,B737,B737W24,J,01P11CM121
B737 781,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 783,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 78J,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 790,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 790 BDSF,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 790 BDSF WL,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 79L,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 79P,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 79T,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 79U,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 79V,B737,CFM56-7B26E,2,B737,B737W24,J,01P11CM116
B737 7AF,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7AF C 40A,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7AF C 40C,B737,CFM56-7B24E,2,B737,B737W24,J,01P11CM114
B737 7AH,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AJ,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AK,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AN,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AU,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AV,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AW,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AX,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7AXC,B737,CFM56-7B20,2,B737,B737W24,J,3CM030
B737 7B5,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7B6,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7BC,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7BD,B737,CFM56-7B20,2,B737,B737W24,J,3CM030
B737 7BF,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7BJ,B737,CFM56-7B27E,2,B737,B737W24,J,01P11CM121
B737 7BK,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7BQ,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7BX,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7C9,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7CG,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7CJ,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7CN,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7CT,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7CU,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7D6 C,B737,CFM56-7BE,2,B737,B737W24,J,01P11CM121
B737 7DP,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7DT,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7E0,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7ED,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7EE,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7EG,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7EH,B737,CFM56-7B22E,2,B737,B737W24,J,01P11CM112
B737 7EI,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7EJ,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7EL,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7EM,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7ES,E737,CFM56-7B26,2,B737,,J,8CM051
B737 7ET,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7FB,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7FG,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7FY,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7GC,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7GE,B737,CFM56-7B27E,2,B737,B737W24,J,01P11CM121
B737 7GJ,B737,CFM56-7B27E,2,B737,B737W24,J,01P11CM121
B737 7GL,B737,CFM56-7B20,2,B737,B737W24,J,3CM030
B737 7GV,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7H3,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7H6,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7HB,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7HB QC,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7HD,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7HE,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7HF,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7HI,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7HJC,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7HZ,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7JB,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7JF,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7JR,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7JU,B737,CFM56-7B27E,2,B737,B737W24,J,01P11CM121
B737 7JV,B737,CFM56-7B27E,2,B737,B737W24,J,01P11CM121
B737 7JW,B737,CFM56-7B27E,2,B737,B737W24,J,01P11CM121
B737 7JY,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7JZ,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7K2,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7K2 SF,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7K5,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7K9,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7KK,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7L9,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7M2,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7N6,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7P3,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7Q8,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7U8,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7V3,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7X2,B737,CFM56-7B24,2,B737,B737W24,J,3CM032
B737 7Z5,B737,CFM56-7B26,2,B737,B737W24,J,8CM051
B737 7Z9,B737,CFM56-7B22,2,B737,B737W24,J,3CM031
B737 7ZH,B737,CFM56-7B27,2,B737,B737W24,J,3CM034
B737 7ZX,B737,CFM56-7BE,2,B737,B737W24,J,01P11CM121
B737 8,B38M,LEAP-1B,2,B38M,,J,01P20CM136
B737 8 200,B38M,LEAP-1B,2,B38M,,J,01P20CM136
B737 800A P 8 POSEIDON MRA MK1,B738,CFM56-7B27E,2,B738,B738W26,J,01P11CM121
B737 800A P 8A,B738,CFM56-7B27E,2,B738,B738W26,J,01P11CM121
B737 800WL,B738,CFM56-7B26E,2,B738,B738W26,J,01P11CM116
B737 804,B738,CFM56-7B26,2,B738,B738W26,J,8CM051
B737 804 BCF,B738,CFM56-7B26,2,B738,B738W26,J,8CM051
B737 804 SF,B738,CFM56-7B26,2,B738,B738W26,J,8CM051
B737 808,B738,CFM56-7B26,2,B738,B738W26,J,8CM051
B737 808 BCF,B738,CFM56-7B26,2,B738,B738W26,J,8CM051
B737 808 BDSF,B738,CFM56-7B26,2,B738,B738W26,J,8CM051
B737 809,B738,CFM56-7B26,2,B738,B738W26,J,8CM051
B737 81B,B738,CFM56-7B26E,2,B738,B738W26,J,01P11CM116
B737 81D,B738,CFM56-7B26E,2,B738,B738W26,J,01P11CM116
