ICAO,NB_ENG,TYPE_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
C320,2,P,PA34,,P,IO-540-T4A5D
C335,2,P,C340,,P,TSIO-520-WB
C337,2,P,DA42,,P,IO-360-A1B6
C340,2,P,C340,,P,TSIO-520-WB
C402,2,P,C402,,P,TSIO-520-WB
C404,2,P,C421,,P,TSIO-520-WB
C408,2,T,AN38,,T,PT6A-65R
C411,2,P,C402,,P,TSIO-520-WB
C414,2,P,C414,,P,TSIO-520-WB
C421,2,P,C421,,P,TSIO-520-WB
C425,2,T,F406,,T,PT6A-112
C441,2,T,PAY3,,T,TPE331-8
C500,2,J,C551,,J,1PW035
C501,2,J,C551,,J,1PW035
C510,2,J,C510,,J,PW610F
C525,2,J,C525,,J,1AS001
C550,2,J,C550,,J,PW530
C551,2,J,C551,,J,1PW036
C560,2,J,C560,,J,PW530
C56X,2,J,C56X,,J,PW530
C650,2,J,C650,,J,1AS002
C680,2,J,C680,,J,7PW078
C68A,2,J,C680,,J,7PW078
C700,2,J,C700,,J,01P18HN013
C750,2,J,C750,,J,6AL023
C97,4,P,C30J,,T,Prop>500hp
CAT,2,P,S2P,,P,Prop>500hp
CL2P,2,P,S2P,,P,Prop>500hp
CL2T,2,T,F27,,T,PW123
CL30,2,J,CL30,,J,01P14HN011
CL60,2,J,CL60,,J,01P05GE189
CN35,2,T,DH8A,,T,CT7-9B
CONI,4,P,C160,,T,Prop>500hp
CRJ1,2,J,CRJ1,,J,1GE035
CRJ2,2,J,CRJ2,,J,01P05GE189
CRJ7,2,J,CRJ9,,J,5GE083
CRJ9,2,J,CRJ9,,J,01P08GE190
CRJX,2,J,CRJX,,J,01P08GE193
CVLT,2,T,ATP,,T,501 D13 alternative 2
D228,2,T,D228,,T,TPE331-5A
D328,2,T,D328,,T,PW119B
DA42,2,P,DA42,,P,Centurion 4.0
DA62,2,P,DA62,,P,AE300
DC10,3,J,DC10,,J,3GE073
DC3,2,P,S2P,,P,Prop>500hp
DC3T,2,T,SH36,,T,PT6A-65AR
DC6,4,P,C160,,T,Prop>500hp
DC85,4,J,B703,,J,1PW001
DC86,4,J,DC87,,J,1PW002
DC87,4,J,DC87,,J,1CM002
DC91,2,J,BA11,,J,8PW085
DC92,2,J,A158,,J,1PW008
DC93,2,J,DC93,,J,1PW006
DC95,2,J,B712,,J,1PW012
DH2T,1,T,K100,,T,PT6A-20
DH3T,1,T,P750,,T,BIZLIGHTPROP_F
DH8A,2,T,DH8A,,T,PW121
DH8B,2,T,DH8C,,T,PW123C
DH8C,2,T,DH8C,,T,PW123
DH8D,2,T,DH8D,,T,PW150A
DHC2,1,P,C188,,P,Prop-500hp
DHC4,2,P,S2P,,P,Prop>500hp
DHC5,2,T,AN30,,T,BIZHEAVYPROP_F
DHC6,2,T,DHC6,,T,PT6A-27
DHC7,4,T,AN30,,T,PT6A-50
DO28,2,P,DA62,,P,IO-540-T4A5D
DOVE,2,P,DA62,,P,Prop>500hp
E110,2,T,D228,,T,PT6A-34
E120,2,T,E120,,T,PW118
E121,2,T,MU2,,T,PT6A-135A
E135,2,J,E135,EMB-135LR,J,01P06AL034
E145,2,J,E145,EMB-145ER,J,01P06AL028
E170,2,J,E170,EMB-170AR,J,01P08GE197
E190,2,J,E190,EMB-190LR,J,11GE144
E195,2,J,E195,EMB-195LR,J,11GE144
E290,2,J,E290,,J,04P20PW200
E295,2,J,B736,,J,04P20PW200
E35L,2,J,E35L,EMB-135BJ-Legacy600,J,01P06AL034
E3CF,4,J,DC87,,J,1CM001
E400,1,P,PA46,,P,IO-550-B
E500,1,T,E500,,T,BIZLIGHTPROP_F
E50P,2,J,E50P,EMB-500,J,PW610F
E545,2,J,E545,,J,01P14HN016
E550,2,J,E550,,J,01P14HN016
E55P,2,J,E55P,EMB-505,J,PW530
E6,4,J,DC87,,J,1PW001
E737,2,J,B737,,J,8CM051
E75L,2,J,E75L,EMB-175LR,J,01P08GE197
E75S,2,J,E75S,EMB-175STD,J,01P08GE197
EA50,2,J,EA50,,J,PW610F
EGRT,1,T,Q9,,T,TPE331-14B
EPIC,1,T,TBM8,,T,PT6A-67A
F100,2,J,F100,F100-650,J,3RR031
F27,2,T,F27,,T,RDa.7
F28,2,J,F28,,J,4RR035
F2TH,2,J,F2TH,,J,01P07PW146
F406,2,T,F406,,T,PT6A-112
F50,2,T,F50,,T,PW125B
F60,2,T,F50,,T,PW127B
F60,2,T,F50,,T,PW127B
F70,2,J,F70,F70-620,J,1RR020
F900,3,J,F900,,J,1AS002
FA10,2,J,FA10,,J,1AS001
FA20,2,J,FA20,,J,CF700-2D
FA50,3,J,FA50,,J,1AS002
FA5X,2,J,GLF2,,J,01P22PW141
FA7X,3,J,FA7X,,J,03P16PW192
FA8X,3,J,FA7X,,J,03P15PW193
G150,2,J,G150,,J,1AS002
G159,2,T,AT43,,T,RDa.7
G21,2,P,DA62,,P,Prop-500hp
G222,2,T,F27,,T,PT6A-65B
G280,2,J,G280,,J,01P11HN012
G73T,2,T,DHC6,,T,PT6A-34
GA5C,2,J,GLF5,,J,01P22PW141
GA6C,2,J,GLF5,,J,01P22PW142
GA7,2,P,PA44,,P,O-320-E2A
GA8,1,P,DA50,,P,IO-540-T4A5D
GALX,2,J,HA4T,,J,7PW077
GL5T,2,J,GL5T,,J,01P04BR013
GL7T,2,J,GLEX,,J,01P11BR016
GLEX,2,J,GLEX,,J,01P04BR013
GLF2,2,J,GLF2,,J,SPEY MK511-8
GLF3,2,J,GLF2,,J,SPEY MK511-8
GLF4,2,J,CRJ9,,J,11RR048
GLF5,2,J,GLF5,,J,4BR008
GLF6,2,J,GLEX,,J,01P11BR016
GSPN,2,J,C550,,J,1AS001
H25A,2,J,H25A,,J,1AS002
H25B,2,J,H25B,,J,1AS002
H25C,2,J,H25B,,J,PW307B
HA4T,2,J,HA4T,,J,01P07PW145
HDJT,2,J,HDJT,,J,BIZLIGHTJET_F
HERN,4,P,S2P,,P,Prop>500hp
IL18,4,T,AN12,,T,AI-24VT
IL62,4,J,DC87,,J,1AA003
IL76,4,J,IL76,,J,1AA002
IL86,4,J,IL86,,J,1KK003
IL96,4,J,IL96,,J,13AA006
J328,2,J,E135,,J,7PW078
JCOM,2,J,H25A,,J,1AS002
JS31,2,T,JS32,,T,TPE331-1
JS32,2,T,JS32,,T,TPE331-12UA
JS41,2,T,JS41,,T,TPE331-14GR
JU52,3,P,S2P,,P,Prop>500hp
K100,1,T,K100,,T,PT6A-34
K35E,4,J,B703,,J,1CM002
K35R,4,J,B703,,J,1CM001
L101,3,J,L101,,J,1RR005
L188,4,T,AN12,,T,501 D13 alternative 2
L200,2,P,BE76,,P,Prop-300hp
L29A,4,J,CL60,,J,1AS002
L29B,4,J,CL60,,J,1AS002
L410,2,T,L410,,T,TPE331-1
LJ24,2,J,LJ25,,J,1AS002
LJ25,2,J,LJ25,,J,1AS002
