ACFT_SERIES,ICAO,ENGINE_ID,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
B737 7JV,B737,01P11CM121,CFM56-7B27E,2,B737,B737W24,J
B737 7JV,B737,3CM034,CFM56-7B27,2,B737,B737W24,J
B737 7JW,B737,01P11CM121,CFM56-7B27E,2,B737,B737W24,J
B737 7JW,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 7JY,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 7JZ,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 7K2,B737,01P11CM112,CFM56-7B22E,2,B737,B737W24,J
B737 7K2,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7K2,B737,3CM032,CFM56-7B24,2,B737,B737W24,J
B737 7K2 SF,B737,3CM032,CFM56-7B24,2,B737,B737W24,J
B737 7K5,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7K5,B737,3CM032,CFM56-7B24,2,B737,B737W24,J
B737 7K9,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7K9,B737,3CM032,CFM56-7B24,2,B737,B737W24,J
B737 7KK,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 7L9,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7M2,B737,3CM032,CFM56-7B24,2,B737,B737W24,J
B737 7N6,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 7P3,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 7Q8,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7Q8,B737,3CM032,CFM56-7B24,2,B737,B737W24,J
B737 7U8,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7V3,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7X2,B737,3CM032,CFM56-7B24,2,B737,B737W24,J
B737 7Z5,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7Z5,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 7Z9,B737,3CM031,CFM56-7B22,2,B737,B737W24,J
B737 7ZH,B737,01P11CM121,CFM56-7BE,2,B737,B737W24,J
B737 7ZH,B737,3CM034,CFM56-7B27,2,B737,B737W24,J
B737 7ZX,B737,01P11CM121,CFM56-7BE,2,B737,B737W24,J
B737 7ZX,B737,8CM051,CFM56-7B26,2,B737,B737W24,J
B737 8,B38M,01P20CM136,LEAP-1B,2,B38M,,J
B737 8 200,B38M,01P20CM136,LEAP-1B,2,B38M,,J
B737 800A P 8 POSEIDON MRA MK1,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 800A P 8A,B738,01P11CM121,CFM56-7B27E,2,B738,B738W26,J
B737 800WL,B738,01P11CM114,CFM56-7B24E,2,B738,B738W26,J
B737 800WL,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 800WL,B738,01P11CM121,CFM56-7BE,2,B738,B738W26,J
B737 804,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 804 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 804 SF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 808,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 808 BCF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 808 BDSF,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 809,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 81B,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 81B,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 81D,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
B737 81D,B738,8CM051,CFM56-7B26,2,B738,B738W26,J
B737 81M,B738,01P11CM116,CFM56-7B26E,2,B738,B738W26,J
