ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
AC95,RC695 GULFSTREAM 1000,TPE331-10-501K,2,PAY3,,T,TPE331-10UK
AEST,PA60 602P,TIO-540-AA1A5,2,BE58,,P,TIO-540-J2B2
AJ27,ARJ21 700,CF34-10A,2,A148,,J,01P11GE202
AN12,Y8F 200W,WJ-6,4,AN12,,T,BIZHEAVYPROP_F
AN2,AN2,ASH-621R,1,C188,,P,Prop>500hp
AN22,AN22A,NK-12MA,4,AN12,,T,BIZHEAVYPROP_F
AN24,AN24T,AI-24VT,2,AN24,,T,AI-24VT
AN26,AN26,AI-24VT,2,AN30,,T,AI-24VT
AN28,PZL MIELEC M28,PT6A-65B,2,AN28,,T,PT6A-65B
AN3,AN 3T,TVD-20,1,Q9,,T,BIZLIGHTPROP_F
AN30,AN30,AI-24VT,2,AN30,,T,AI-24VT
AN32,AN32,AI-20D,2,AN32,,T,AI-24VT
AN70,AN70,D-27,4,C130,,T,BIZHEAVYPROP_F
AN72,AN74TK 200A,D-36-3A,2,F28,,J,13ZM002
ARVA,IAI101 201,UNKNOWN,2,DHC6,,T,PT6A-34
ASTR,IAI1125SPX ASTRA,TFE731-3C-200G,2,G150,,J,1AS002
AT43,ATR42 300,PW120,2,AT43,ATR42-300,T,PW120
AT44,ATR42 420MP,PW127E,2,AT45,ATR42-400,T,PW127E
AT45,ATR42 500,PW127E,2,AT45,ATR42-500,T,PW127E
AT46,ATR42 600,PW127M,2,AT45,,T,PW127
AT72,ATR72 202,PW124B,2,AT72,ATR72-200,T,PW124B
AT73,ATR72 212,PW127,2,AT73,ATR72-210,T,PW127
AT75,ATR72 212A,PW127F,2,AT75,ATR72-500,T,PW127F
AT76,ATR72 600,PW127M,2,AT76,ATR72-600,T,PW127
AT8T,AT802A,PT6A-67R,1,PC12,,T,PT6A-67R
ATP,ATP F,PW126,2,ATP,,T,PW126A
B190,BEECH 1900D,PT6A-67D,2,B190,,T,PT6A-67D
B26,A26B INVADER,R-2800,2,S2P,,P,Prop>500hp
B350,BEECH 350 B300,PT6A-60A,2,B350,,T,PT6A-60A
B37M,B737 7,LEAP-1B,2,B38M,,J,01P20CM136
B38M,B737 8 200,LEAP-1B,2,B38M,,J,01P20CM136
B39M,B737 9,LEAP-1B,2,B39M,,J,01P20CM140
B3XM,B737 10,LEAP-1B,2,B39M,,J,01P20CM140
B461,BAE146 100,LF502R-5,4,B462,,J,1TL003
B462,BAE146 200,LF502R-5,4,B462,,J,1TL003
B463,BAE146 301ARA,LF502R-5,4,B463,,J,1TL003
B701,B707 138B,JT3D-1/Q,4,B703,,J,1PW001
B703,B707 E8C,JT3D-3B,4,B703,,J,1PW001
B712,B717 2BL,BR715A,2,B712,B712HGW21,J,4BR005
B721,B727 21,JT8D-7B/Q,3,B722,,J,8PW085
B722,B727 2X8 RE ADV,JT8D-217C2/17A1,3,B722,,J,4PW070
B732,B737 2V6 ADC,JT8D-17,2,B732,B73215,J,1PW012
B733,B737 3H4 WL,CFM56-3B1,2,B733,B73320,J,1CM004
B734,B737 490 F,CFM56-3C1,2,B734,B73423,J,1CM007
B735,B737 524 WL,CFM56-3C1,2,B735,B73518,J,1CM007
B736,B737 6D6,CFM56-7B26,2,B736,B73622,J,8CM051
B737,B737 7K2,CFM56-7B24,2,B737,B737W24,J,3CM032
B738,B737 8AS,CFM56-7B24,2,B738,B738W26,J,3CM032
B739,B737 9F2 ER,CFM56-7B27E,2,B739,B739ERW26,J,01P11CM121
B741,B747 132 F SCD,JT9D-7AD,4,B742,,J,8PW087
B742,B747 236B F,RB211-524D4,4,B742,B742RR,J,1RR007
