ENGINE_ID,ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
02P23RR128,B789,B787 9,TRENT 1000,2,B789,B789RR74,J
02P23RR128,B78X,B787 10,TRENT 1000,2,B78X,,J
03P15PW193,FA8X,FALCON 8X,PW307D,3,FA7X,,J
03P16PW192,FA7X,FALCON 7X,PW307A,3,FA7X,,J
03P16PW192,LJ60,LEARJET 60,PW305A,2,LJ60,,J
04P20PW196,BCS1,CS100,PW1524G,2,B736,,J
04P20PW197,BCS3,CS300,PW1521G,2,A318,,J
04P20PW200,E290,EMB190 300STD,PW1919G,2,E290,,J
04P20PW200,E295,EMB190 400STD,PW1919G,2,B736,,J
04P24RR146,A338,A330 841,TRENT 7000-72,2,A339,,J
04P24RR146,A339,A330 941,TRENT 7000-72,2,A339,,J
10PW098,B772,B777 26K ER,PW4084D,2,B772,B772RR92,J
10PW099,B772,B777 222 ER,PW4090,2,B772,B772RR92,J
10PW099,B773,B777 346,PW4090,2,B773,B773RR92,J
10PW099,B77W,B777 381 ER,PW4090,2,B77W,B773ERGE115B,J
11GE139,B748,B747 830,GENX-2B67,4,B748,B748F,J
11GE142,E190,EMB190 100STD,CF34-10E,2,E190,EMB-190STD,J
11GE144,E190,EMB190 100LR,CF34-10E,2,E190,EMB-190LR,J
11GE144,E195,EMB190 200LR,CF34-10E5A1,2,E195,EMB-195LR,J
11HN003,CL30,BD100 1A10 CHALLENGER 300,HTF7000,2,CL30,,J
11RR048,GLF4,G450,TAY 611-8C,2,CRJ9,,J
12GE150,B788,B787 8,GENX-64B,2,B788,B788GE67,J
12GE150,B789,B787 9,GENX-64B,2,B789,B789GE75,J
12PW101,B762,B767 27E ER,PW4060,2,B762,B762ERPW56,J
12PW101,B763,B767 332 ER,PW4060,2,B763,B763ERGE61,J
12PW102,B744,B747 4B5 ERF,PW4062,4,B744,B744ERGE,J
12PW102,B762,KC 46A PEGASUS B767 2C,PW4062,2,B762,B762GE50,J
12PW102,B763,B767 33P ER,PW4062,2,B763,B763ERGE61,J
13AA006,IL76,IL76TD 90VD,PS-90A-76,4,IL76,,J
13AA006,IL96,IL96 300,PS-90A,4,IL96,,J
13AA006,T204,TU204 100C,PS-90AT,2,T204,,J
13AA008,T204,TU204 100CE,PS-90A2,2,T204,,J
13ZM002,AN72,AN74TK 200A,D-36-3A,2,F28,,J
13ZM003,A178,AN178,D-436-148FM,2,E190,,J
13ZM004,A140,AN140,TV3-117VMA-SBM1,2,A140,,T
13ZM004,A148,AN148 100E,D-436-148,2,A148,,J
1AA001,T134,TU134A 3,D-30-III,2,T134,,J
1AA002,IL76,IL76TD,D30KP,4,IL76,,J
1AA003,IL62,IL62M,D30KU,4,DC87,,J
1AA004,T154,TU154M,D30KU-154-II,3,T154,,J
1AS001,C25A,CESSNA 525A CJ2,FJ44-3A-24,2,C25A,,J
1AS001,C25M,CESSNA 525 CJ1 M2,FJ44-1AP-21,2,C525,,J
1AS001,C501,CESSNA 501 SIERRA EAGLE II,FJ44-2A,2,C551,,J
1AS001,C525,CESSNA 525,FJ44-1A,2,C525,,J
1AS001,E55P,ELITE,FJ-33-4,2,E55P,,J
1AS001,F900,FALCON 900DX,TFE731-60,3,F900,,J
1AS001,FA10,FALCON 100,TFE731-2-1C,2,FA10,,J
1AS001,GSPN,SPN GROB 180,FJ44-3A,2,C550,,J
1AS001,LJ31,LEARJET 31A,TFE731-2-3B,2,BE40,,J
1AS001,LJ35,LEARJET 35A,TFE731-2-2B,2,LJ35,,J
1AS001,PC24,PC24,FJ44-4A,2,C560,,J
1AS001,PRM1,RA 390,FJ44-2A,2,PRM1,,J
1AS001,SF50,SF50,FJ33,1,SF50,,J
1AS001,SJ30,SJ30 2,FJ44-2A,2,LJ25,,J
1AS002,ASTR,IAI1125SPX ASTRA,TFE731-3C-200G,2,G150,,J
1AS002,C650,CESSNA 650,TFE731-3B-100S,2,C650,,J
1AS002,F900,FALCON 900EX,TFE731-60-1C,3,F900,,J
1AS002,FA20,FALCON 20F,TFE731-5AR-2C,2,FA20,,J
1AS002,FA50,FALCON 50,TFE731-3-1C,3,FA50,,J
1AS002,G150,G150,TFE731-40R-200G,2,G150,,J
1AS002,H25A,BAE125 3A RA,VIPER 522,2,H25A,,J
1AS002,H25B,BAE125 800XP,TFE731-5BR,2,H25B,,J
1AS002,JCOM,IAI1121,CJ610-1,2,H25A,,J
1AS002,L29A,L1329 8,JT12A-8,4,CL60,,J
1AS002,L29B,L1329 II,TFE731-3,4,CL60,,J
1AS002,LJ24,LEARJET 24,CJ610-4,2,LJ25,,J
1AS002,LJ25,LEARJET 25D,CJ610-8A,2,LJ25,,J
1AS002,LJ40,LEARJET 40,TFE731-20AR,2,LJ45,,J
1AS002,LJ45,LEARJET 45,TFE731-20AR,2,LJ45,,J
1AS002,LJ55,LEARJET 55,TFE731-3AR-2B,2,LJ60,,J
1AS002,LJ70,LEARJET 70,TFE731-40BR,2,LJ75,,J
1AS002,LJ75,LEARJET 75,TFE731-40BR,2,LJ75,,J
1AS002,SBR1,SABRE 65,TFE731-3R-1D,2,SBR1,,J
1AS002,WW23,IAI1123,CJ610-9,2,SBR1,,J
1AS002,WW24,IAI1124,TFE731-3-1G,2,SBR1,,J
1CM001,B701,B707 TC 135B,UNKNOWN,4,B703,,J
1CM001,E3CF,B707 E3A,UNKNOWN,4,DC87,,J
1CM001,K35E,B707 KC 135E,UNKNOWN,4,B703,,J
1CM001,K35R,B707 KC 135R,UNKNOWN,4,B703,,J
1CM001,R135,VC 135B,UNKNOWN,4,DC87,,J
1CM001,W135,C135B B707,JT3D-3B,4,B703,,J
1CM002,DC87,DC8 72CF,CFM56-1B,4,DC87,,J
1CM002,K35E,B707 351C KC135A,UNKNOWN,4,B703,,J
1CM003,DC87,DC8 73CF,CFM56-2C1,4,DC87,,J
1CM004,B733,B737 3H4 WL,CFM56-3B1,2,B733,B73320,J
1CM004,B734,B737 4Q3,CFM56-3B1,2,B734,B73423,J
1CM004,B735,B737 548 WL,CFM56-3B1,2,B735,B73518,J
1CM005,B733,B737 341,CFM56-3B2,2,B733,B73320,J
1CM005,B734,B737 448 F,CFM56-3B2,2,B734,B73423,J
1CM007,B733,B737 36N WL,CFM56-3C1,2,B733,B73320,J
1CM007,B734,B737 490 F,CFM56-3C1,2,B734,B73423,J
1CM007,B735,B737 524 WL,CFM56-3C1,2,B735,B73518,J
1CM008,A320,A320 211,CFM56-5A1,2,A320,A320-212,J
1CM009,A320,A320 212,CFM56-5A3,2,A320,A320-212,J
1CM010,A342,A340 211,CFM56-5C2,4,A342,A340-213,J
1CM010,A343,A340 311,CFM56-5C2,4,A343,A340-313,J
1CM011,A342,A340 212,CFM56-5C3,4,A342,A340-213,J
1CM011,A343,A340 312,CFM56-5C3,4,A343,A340-313,J
1GE001,DC10,MD10 10 F,CF6-6D,3,DC10,,J
1GE002,DC10,DC10 10,CF6-6D1A,3,DC10,,J
